fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,18,MAHARASHTRA,1812,SANGLI,57488,311.289003738234,17,13,0.57024,257,238,11006,88812,5088,7423,366,216,0,277.03223,5112,8000,45937,99497,0,323906,571817,11263,276.46199,36284,90,18.08,12.55,100,NA
2025-2026,April,18,MAHARASHTRA,1820,Dharashiv,303270,363.099766676974,11,19,0.69,63,509,19339,35573,1870,20540,112,1128,0,129.85548,3198,4645,76341,193466,0,329841,711064,19402,129.16548,15586,78,60.04,55.84,100,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,317.685804892594,18,106,2.03734,399,86,13061,160978,11889,15414,14297,14830,12.47766,525.919255,8799,14297,57980,143556,5,228048,424528,13460,511.404255,68784,88,46.94,46.67,100.08,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,222.844683963406,11,1054,0,578,172,15740,293273,32752,57109,23629,31786,22.51124,676.05453,25515,40830,180945,437215,0,296612,644413,16318,653.54329,169332,78,12.76,33.47,100,NA
2025-2026,April,18,MAHARASHTRA,1805,SINDHUDURG,50387,320.749926117473,11,28,0,229,138,16454,43312,775,2743,129,232,4.27666,143.199868,3826,6066,31029,71915,0,132028,247126,16683,138.923208,18821,88,44.32,39.16,100,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,255.357914614068,14,94,0,789,117,29622,307943,11262,17102,58533,79382,0,786.356823,21707,36461,104843,294880,8,532512,1066392,30411,786.356823,133712,92,54.13,53.75,100.66,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,269.110920622557,14,90,28.282765,1112,234,41896,431382,21115,29291,37490,37964,0,1189.1788366,30384,48107,144359,356679,5,685979,1303047,43008,1160.8960716,188369,92,22.62,21.55,100.14,NA
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,387.415329890993,13,48,0,122,437,23781,113295,4651,14412,991,2285,0,438.922198,8514,14383,88982,202370,0,576961,1011153,23903,438.922198,47731,97,59.6,59.47,102.12,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,215.335532841679,13,50,0,657,429,31014,208683,16416,53287,2255,4340,0,449.36865,16014,26296,135983,338494,1,412255,867271,31671,449.36865,90968,86,65.88,59.62,100,NA
2025-2026,April,18,MAHARASHTRA,1823,AKOLA,159859,299.71150945504,13,988,0,669,35,38056,384927,43909,37037,14527,11503,29.63529,1183.305812,28811,44507,97334,223704,8,308881,595513,38725,1153.670522,155070,93,38.31,39.16,100.03,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,307.055658449824,10,29,0,416,333,18094,68031,7525,31738,6104,31041,9.54709,218.440125,6549,9108,98895,226606,0,291137,559486,18510,208.893035,29869,82,52,51.98,100.01,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,225.413484545252,11,1209,0,659,153,15877,337275,36667,57120,27311,31810,22.51124,782.77457,28389,45795,181068,437252,0,299126,648077,16536,760.26333,193840,78,13.13,31.74,100.01,NA
2025-2026,April,18,MAHARASHTRA,1803,RAIGAD,21915,330.908433021438,12,12,0,279,541,18495,25329,710,2689,8365,15444,0,83.815797,1975,3289,28747,66341,0,199027,359834,18774,83.815797,12793,79,31.54,26.59,100.33,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,317.935845672465,15,93,0,751,226,38403,377120,17545,29607,21558,27676,0,1198.9996612,23787,41061,148908,434578,2,781065,1940271,39154,1198.9996612,164193,93,46,44.06,100.36,NA
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,412.397072406227,12,42,0,106,458,24233,95710,4086,14385,838,2262,0,394.705238,7443,12543,88554,201394,0,575856,1009359,24339,394.705238,40046,97,60.7,60.67,102.39,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,216.115239496701,11,1092,0,578,172,15749,302405,33799,57111,24338,31790,22.51124,676.05453,25972,41773,180955,437190,0,297127,645169,16327,653.54329,174873,78,13.42,33.83,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,301.601693635755,16,402,0,1683,38,23019,510634,40556,39085,181188,166044,35.49352,1575.57431228,31131,56116,134438,389817,6,242279,615297,24702,1540.08079228,243013,84,20.72,25.72,100.05,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,306.318018996856,13,439,63.8034937,1398,58,51922,580096,1632,1941,538675,362059,13.226,1853.96806918,43016,76946,139022,404196,1,330175,767761,53320,1776.93857548,308828,88,10.66,19.53,100.03,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,343.130793422463,13,66,0,221,408,23918,141816,5906,14474,1462,2304,0,486.614366,10442,17726,89411,203466,1,580642,1017565,24139,486.614366,59080,97,60.74,60.64,102.42,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,324.372434256268,17,26,0,136,349,11494,146706,15022,18210,328,359,0,475.8738234,8426,14026,51476,127023,3,377378,682144,11630,475.8738234,68106,94,19.75,15.2,104.24,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,326.985274512715,13,288,0,1438,158,51550,700514,35231,40143,81027,79287,0,2290.5776259,50616,76030,244773,547958,4,704745,1435662,52988,2290.5776259,313502,94,39.73,55.61,100,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,305.485847038103,15,494,63.8034937,1510,47,52733,769355,2138,1948,716496,363751,13.226,2427.30013218,50153,90435,139826,406194,11,332386,771402,54243,2350.27063848,415820,88,12.96,24.25,100.04,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,320.078242657425,14,52,0,365,76,16829,94347,1935,2776,261,234,4.27666,306.2608796,6644,10483,31971,73787,1,132655,248078,17194,301.9842196,40894,89,51.1,48.55,100.01,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,283.194063229799,22,504,0,4186,189,60813,1204527,15755,11480,663496,232881,0,3411.148954,52776,92608,200291,561903,63,767613,1615339,64999,3411.148954,544191,90,12.53,11.22,100.93,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,315.823116033625,13,93,8.98788,246,556,17486,194616,5633,10137,915,924,0,623.6301955,14388,22731,71006,160275,3,423819,806904,17732,614.6423155,94335,89,18.22,21.92,102.45,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,371.054629322162,14,80,0.69,277,223,19990,221041,10446,20717,595,1146,0,820.8728632,15316,24852,77775,197293,2,333203,717161,20267,820.1828632,94252,79,59.37,57.88,100.01,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,318.808748587368,16,394,0,1894,97,53595,1188385,57607,40494,132602,80378,0,3788.6753469,71129,107473,248419,555809,26,708878,1442701,55489,3788.6753469,531226,94,43.39,60.43,100.04,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,216.320450950011,15,1831,0,1176,76,16399,675729,76431,57268,53908,31893,22.51124,1484.25126,43936,71174,181736,437989,2,305682,657396,17575,1461.74002,393471,79,15.65,33.97,100.03,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,277.122758253123,17,60,1.14223,2618,46,39470,566634,9332,10723,470702,291596,6.13765,1577.55165,32215,49779,151577,361101,4,574361,1142594,42088,1570.27177,257533,90,11.98,10.94,101.49,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,329.323569036852,16,539,0,822,165,76553,603272,16509,26956,11842,12843,69.30875,2056.0256314,36694,67897,241808,645200,27,707944,1505186,77375,1986.7168814,269966,94,67.94,63.26,102.33,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,295.104967712044,13,153,0,728,242,50175,448929,12804,20598,3052,3236,166.52546,1491.3372405,33535,59139,177180,463856,26,523027,1147263,50903,1324.8117805,199147,85,68.44,67.43,100.38,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,380.352595398581,15,217,24.36237,1102,202,85894,994302,19226,16421,2343,1995,0,3806.2158331,62274,111115,288757,697318,51,781313,1553169,86996,3781.8534631,435036,81,65.15,61.7,101.39,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,254.468688967685,15,70,0,742,260,31821,408083,28979,53427,3936,4362,0,1038.44346,25819,42643,137080,340895,3,415351,871997,32563,1038.44346,177122,86,69.19,63.17,100,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,298.221677108833,17,72,0,315,77,23007,471007,53869,44463,68408,43183,0,1404.6449747,27121,45690,97187,248146,17,276135,619039,23322,1404.6449747,202580,90,82.13,76.55,100.02,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,288.172710626703,14,21,0,413,473,18646,45875,1270,2703,14815,15870,0,132.199231,3180,5189,29214,67317,4,205066,368531,19059,132.199231,22775,80,31.71,30.41,100.63,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,321.657606076925,11,65,0,424,289,19258,70562,1935,6474,581,1163,0,226.96804,6195,9028,51426,117430,1,260424,482904,19682,226.96804,33369,97,57.9,39.92,100.25,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,246.449295182794,15,72,0,741,269,31688,392655,28292,53405,4459,4362,0,967.69548,25140,41625,136932,340537,4,414815,871170,32429,967.69548,171021,86,70.45,64.65,100,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,277.841751982402,21,614,0.28512,2458,78,48464,929176,81571,52471,365713,139238,0,2581.9239974,43860,84119,190415,538719,110,492475,1102220,50922,2581.6388774,418708,80,32.88,53.73,100.21,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,306.225875470499,16,67,0,291,80,22907,431191,49526,44436,62452,43119,0,1320.4184147,26051,43775,97015,247742,9,275682,618282,23198,1320.4184147,185555,90,82.05,76.18,100.02,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,288.132656486221,16,534,63.8034937,1638,47,53498,898389,2532,1953,834345,365910,13.226,2665.58158498,54560,98513,140919,408662,28,334198,774370,55136,2588.55209128,487314,89,13.8,25.88,100.2,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,307.836845311259,21,51,0,90,91,14008,183866,4656,3835,81162,40906,10.3281,576.335394,8404,14745,33395,109098,20,151478,352837,14098,566.007294,94387,96,21.49,23.16,100.33,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,278.852843250657,17,117,28.282765,1523,173,43142,702861,33441,29648,57628,38899,0,1988.2306476,40916,65537,147517,364078,38,693992,1313993,44665,1959.9478826,306250,93,30.45,29.8,101.41,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,376.744664911168,22,129,2.03734,473,46,13851,280642,19294,15544,23461,15032,22.105,1081.4461025,12463,20591,59163,146256,54,234273,432922,14324,1057.3037625,120580,89,50.59,50.43,100.45,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,217.522937932653,14,1819,0,1129,82,16376,647748,73060,57262,51145,31892,22.51124,1431.51172,43480,70338,181704,437954,2,304991,656434,17505,1409.00048,376845,79,15.77,34.35,100.03,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,303.476718172053,17,555,63.8034937,1742,41,54126,1030533,2751,1953,958432,367065,13.226,3204.45722178,58004,105048,141478,409982,63,335552,776659,55868,3127.42772808,562549,89,11.32,22.35,100.22,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,316.008982464237,17,27,0,171,326,11631,164692,16350,18294,380,365,0,520.441513400001,9202,15345,51891,128000,7,378562,684665,11802,520.441513400001,76408,94,22.8,18.74,103.79,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,252.694824367271,14,71,0,725,271,31628,381364,27556,53405,4459,4362,0,963.68709,25559,42320,136892,340437,4,414349,870478,32353,963.68709,165852,86,70.28,64.56,100,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,282.89777517206,16,283,0,3321,72,28660,686098,59272,60388,156242,104654,86.87413,2027.8301075,40934,68484,169237,486186,11,390597,932700,31981,1940.9559775,346074,81,26.5,33.74,100.01,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,283.487829362221,15,100,28.282765,1351,206,42697,544264,26325,29437,47502,38433,0,1571.2049646,35236,55937,145797,360063,19,687705,1305164,44048,1542.9221996,238051,92,25.32,24.67,100.99,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,298.027896988215,17,114,0,858,184,39224,538385,23912,29773,34334,27980,0,1604.5374932,29977,52612,150270,438651,22,789187,1955971,40082,1604.5374932,234227,93,48.56,46.72,100.44,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,326.742453960451,13,70,0,332,387,24055,161926,6759,14543,1570,2316,0,529.080986,11653,19737,89855,204501,1,582040,1020175,24387,529.080986,67351,97,60.28,60.18,102.55,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,316.650313518906,17,27,0,171,326,11631,164392,16350,18293,380,365,0,520.5477834,9200,15338,51890,127977,6,378223,683851,11802,520.5477834,76273,94,22.38,18.3,103.79,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,335.474968143403,15,540,0,571,198,76587,565346,15471,26929,11309,12829,69.30875,1965.9030634,35600,65751,241640,644704,14,706061,1501727,77158,1896.5943134,252902,94,66.71,62.95,101.42,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,446.745391498915,14,151,24.36237,725,259,85210,669491,13043,16361,1698,1973,0,3015.282559,46171,83748,287344,695310,19,772757,1542996,85935,2990.920189,292128,80,62.22,57.21,101.43,NA
2025-2026,May,18,MAHARASHTRA,1822,BULDHANA,417104,329.656590112976,11,68,0,704,232,33017,256073,15841,33991,5436,7671,0,844.16152,21595,32267,132951,322789,0,497038,1036350,33721,844.16152,101154,95,36.79,36.42,100,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,264.741964239529,19,567,0.28512,1772,86,48784,819676,70979,52405,320820,139180,0,2170.3114628,41842,79693,190230,538185,62,490590,1099574,50556,2170.0263428,367152,80,32.57,51.62,100.25,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,324.604505011581,14,320,0,1492,144,52127,824191,40482,40226,91781,79530,0,2675.3611159,56777,85544,245742,549931,5,705428,1436767,53619,2675.3611159,368297,94,41.23,57.56,100.01,NA
2025-2026,May,18,MAHARASHTRA,1827,NAGPUR,599328,291.823271908909,12,35,0,432,275,18489,115752,12751,31822,9769,31128,9.54709,347.3383637,8911,12615,99283,227469,0,293352,562424,18921,337.7912737,50837,82,49.47,49.46,100.01,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,218.399317750726,13,1456,0,685,112,16271,465519,52431,57174,37281,31846,22.51124,1039.20156,34539,55435,181322,437421,1,302610,652947,16956,1016.69032,270826,79,15.73,35.24,100.04,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,301.736663276202,18,453,0,3061,20,22817,678963,55331,39220,244709,166711,35.49352,2084.17382108,37498,67911,135028,391288,17,244222,618493,25878,2048.68030108,322454,85,22.23,27.13,100.17,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,253.068725962086,13,86,8.98788,234,643,17146,175764,5009,10117,783,924,0,453.7915955,13227,20858,70365,158825,2,423148,805506,17380,444.8037155,85271,89,18.02,21.69,103.15,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,310.344647907042,15,84,0,434,355,24357,214290,8447,14611,2048,2327,0.329,665.366546,14077,23956,90702,206499,6,586305,1028085,24791,665.037546,89389,97,61.21,61.13,103.63,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,315.858899726449,18,43,0,210,313,11831,197769,18295,18369,430,365,0,624.670987400001,10589,17832,52514,129651,7,379590,686915,12041,624.670987400001,91950,94,26.9,23.21,104.22,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,323.267783650711,16,544,0,899,158,76593,627171,17120,26961,12427,12843,69.30875,2096.7505414,37202,68886,241879,645411,36,708649,1506449,77492,2027.4417914,280942,94,67.7,62.61,102.27,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,299.087491630764,16,1200,0,1709,29,37474,549632,60959,37295,20450,11594,29.63529,1673.515852,33999,52790,98818,226915,48,323258,616898,39183,1643.880562,223296,93,42.76,43.75,100.06,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,314.832907986206,22,125,2.03734,473,51,13821,274035,18970,15539,22928,15018,12.47766,877.267359400001,12274,20310,59115,146150,48,233228,431456,14294,862.752359400001,117861,89,50.12,49.95,100.35,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,310.204223246543,24,54,0,154,73,14306,224756,5658,3873,98568,41404,10.3281,707.530704,9336,16539,33771,110431,47,155777,359241,14460,697.202604,114888,96,21.26,22.95,100.37,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,385.414635562718,21,150,0,1415,114,40079,835178,36407,30040,42792,28304,8.1,3226.998245,38336,68450,152391,445100,151,805544,1987968,41494,3218.898245,363709,94,50.16,48.01,109.93,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,314.111772794175,20,34,0.57024,1550,120,11099,206544,8614,7568,626,225,0,649.34926,9946,15511,48479,105175,5,326574,576544,12649,648.77902,85066,91,22.66,19.19,100.03,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,462.266470699858,18,213,41.98825,308,76,39929,769399,22612,20327,3985,2802,0,3598.6618529,41777,67734,154135,343245,99,445254,848101,40237,3556.6736029,321576,91,74.21,70.99,100.85,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,380.658883545805,19,310,24.36237,1335,148,87235,1571502,27217,16567,3083,2002,0,6006.4243381,81066,145010,290954,702404,321,811118,1590622,88570,5982.0619681,686208,81,66.28,64.25,101.13,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,399.942684649203,15,86,0.69,399,157,20176,268631,12612,20758,773,1149,0,1075.0600332,16845,27349,78085,198163,10,338924,727395,20575,1074.3700332,114177,79,60.8,59.4,100.04,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,269.619149722549,15,163,0,1372,20,39475,1387994,91459,51836,198690,90443,0,3742.297621,90511,135601,234672,605817,9,380516,882664,40847,3742.297621,843221,80,19.1,33.39,102.8,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,305.389001590255,19,603,63.8034937,1967,38,54010,1184716,3336,1964,1100283,368938,13.226,3695.02185778,62116,112693,142346,412206,149,340912,785175,55977,3617.99236408,649059,89,9.26,18.98,100.35,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,313.775360066502,15,23,0,463,419,18693,55337,1343,2703,17958,16075,0,173.633871,3673,6058,29369,67724,4,208712,373962,19156,173.633871,27355,80,32.9,33.17,100.9,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,328.258798492172,12,69,0,463,228,19383,88339,2446,6499,652,1167,0,289.98054,7325,10635,51676,117968,3,260648,483270,19846,289.98054,41078,97,58.67,43.18,100.32,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,316.079778481969,13,94,8.98788,291,542,17534,198494,5657,10144,915,924,0,636.3872755,14655,23140,71154,160640,3,424264,807882,17825,627.3993955,96322,89,17.9,21.54,102.39,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,367.471666479903,14,80,0.69,332,223,19972,223099,10482,20717,595,1146,0,820.5156132,15471,25091,77773,197330,2,334920,720380,20304,819.8256132,95104,79,59.57,57.94,100.01,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,302.122285379065,16,1222,0,3008,28,36645,591508,65307,37381,22049,11624,29.63529,1816.7127778,35076,54544,99097,227533,58,329859,626236,39653,1787.0774878,240906,93,43.76,44.77,100.14,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,328.531596030332,20,535,0,4288,6,22389,884205,70894,39261,322577,167255,35.49352,2940.38631868,43447,79001,135576,392603,44,247924,624367,26677,2904.89279868,422796,85,23.11,29.44,100.16,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,299.354010966089,18,573,63.8034937,1773,39,53948,1086805,3063,1954,1009787,367891,13.226,3330.42385258,59446,107793,141837,410976,93,337555,779934,55721,3253.39435888,593080,89,8.64,17.52,100.21,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,314.246698881529,15,22,0,461,419,18695,55254,1343,2703,17953,16074,0,173.633871,3665,6045,29369,67722,4,208375,373489,19156,173.633871,27310,80,32.8,33.07,100.9,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,328.290147330694,12,69,0,463,228,19382,88169,2446,6499,652,1167,0,289.45014,7318,10625,51676,117968,3,260634,483251,19845,289.45014,41023,97,58.75,43.23,100.32,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,307.754938808044,20,31,0.57024,1535,141,10807,180661,7957,7540,550,222,0,556.56339,9008,14017,47959,104034,5,325667,575013,12342,555.99315,74220,91,20.52,16.87,100.02,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,333.050934922969,15,98,0,436,302,24705,250288,9750,14660,2386,2337,0.329,833.915524,15920,27065,91387,208141,7,590383,1035529,25141,833.586524,104118,97,61.56,61.34,104.46,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,278.466467005844,18,575,0,992,150,77029,740222,19651,27025,13545,12872,79.50852,2140.7785714,40289,74641,242384,646778,65,711408,1511352,78021,2061.2700514,332105,94,67.28,62.11,102.86,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,443.819382510878,17,210,41.98825,247,81,39767,694992,20418,20288,3282,2790,0,3126.4974529,40029,64890,153744,342373,61,439933,840853,40014,3084.5092029,290225,91,74.32,70.72,100.79,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,213.415803575057,15,1834,0,1176,75,16406,688996,78429,57267,54657,31899,22.51124,1492.93759,44096,71442,181750,438012,2,305998,657844,17582,1470.42635,402008,79,16.02,34.12,100.03,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,328.039044060341,17,145,0,1028,88,30655,468335,17123,17166,86966,80386,0,1536.321657,26682,44859,106158,298037,44,582700,1135513,31683,1536.321657,204388,92,55.6,55.12,102.04,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,438.52998157471,17,213,41.98825,255,80,39887,735945,21388,20307,3612,2795,0,3269.3277229,41229,66821,153998,342965,74,443497,845808,40142,3227.3394729,307214,91,73.67,70.31,100.81,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,359.16138019598,18,296,24.36237,1259,160,86913,1429326,25456,16550,2982,2002,0,5157.9493591,77824,139322,290357,701121,218,806734,1585041,88172,5133.5869891,624613,81,66.13,63.76,101.01,NA
